warning: `VIRTUAL_ENV=/usr` does not match the project environment path `.venv` and will be ignored; use `--active` to target the active environment instead
W0327 08:31:43.570000 11341 .venv/lib/python3.10/site-packages/torch/_inductor/utils.py:1613] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
step 00000 (0.0%) | loss: 9.011421 | lrm: 0.00 | dt: 15733ms | tok/sec: 1,041 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 01958 (27.3%) | loss: 3.879018 | lrm: 1.00 | dt: 42ms | tok/sec: 387,470 | mfu: 2.2% | epoch: 1 | remaining: 218s    
step 01959 (27.4%) | loss: 3.881550 | lrm: 1.00 | dt: 42ms | tok/sec: 387,562 | mfu: 2.2% | epoch: 1 | remaining: 218s    
step 01960 (27.4%) | loss: 3.879448 | lrm: 1.00 | dt: 42ms | tok/sec: 387,649 | mfu: 2.2% | epoch: 1 | remaining: 218s    
step 01961 (27.4%) | loss: 3.870242 | lrm: 1.00 | dt: 42ms | tok/sec: 387,859 | mfu: 2.2% | epoch: 1 | remaining: 218s    
step 01962 (27.4%) | loss: 3.879443 | lrm: 1.00 | dt: 42ms | tok/sec: 387,337 | mfu: 2.2% | epoch: 1 | remaining: 218s    
step 01963 (27.4%) | loss: 3.894779 | lrm: 1.00 | dt: 42ms | tok/sec: 388,252 | mfu: 2.2% | epoch: 1 | remaining: 218s    
step 01964 (27.4%) | loss: 3.889436 | lrm: 1.00 | dt: 42ms | tok/sec: 387,772 | mfu: 2.2% | epoch: 1 | remaining: 218s    
step 01965 (27.4%) | loss: 3.886150 | lrm: 1.00 | dt: 42ms | tok/sec: 387,363 | mfu: 2.2% | epoch: 1 | remaining: 218s    
step 01966 (27.5%) | loss: 3.870436 | lrm: 1.00 | dt: 42ms | tok/sec: 387,827 | mfu: 2.2% | epoch: 1 | remaining: 218s    
step 01967 (27.5%) | loss: 3.882631 | lrm: 1.00 | dt: 42ms | tok/sec: 388,171 | mfu: 2.2% | epoch: 1 | remaining: 218s    
step 01968 (27.5%) | loss: 3.887164 | lrm: 1.00 | dt: 42ms | tok/sec: 388,230 | mfu: 2.2% | epoch: 1 | remaining: 218s    
step 01969 (27.5%) | loss: 3.880040 | lrm: 1.00 | dt: 42ms | tok/sec: 388,344 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01970 (27.5%) | loss: 3.880723 | lrm: 1.00 | dt: 42ms | tok/sec: 388,458 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01971 (27.5%) | loss: 3.879559 | lrm: 1.00 | dt: 42ms | tok/sec: 387,647 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01972 (27.5%) | loss: 3.891870 | lrm: 1.00 | dt: 42ms | tok/sec: 387,792 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01973 (27.6%) | loss: 3.884066 | lrm: 1.00 | dt: 42ms | tok/sec: 386,901 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01974 (27.6%) | loss: 3.879689 | lrm: 1.00 | dt: 43ms | tok/sec: 383,800 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01975 (27.6%) | loss: 3.880305 | lrm: 1.00 | dt: 42ms | tok/sec: 388,175 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01976 (27.6%) | loss: 3.895374 | lrm: 1.00 | dt: 42ms | tok/sec: 388,155 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01977 (27.6%) | loss: 3.878220 | lrm: 1.00 | dt: 42ms | tok/sec: 387,597 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01978 (27.6%) | loss: 3.892186 | lrm: 1.00 | dt: 43ms | tok/sec: 385,380 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01979 (27.6%) | loss: 3.883075 | lrm: 1.00 | dt: 42ms | tok/sec: 387,757 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01980 (27.6%) | loss: 3.877720 | lrm: 1.00 | dt: 42ms | tok/sec: 388,298 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01981 (27.7%) | loss: 3.862809 | lrm: 1.00 | dt: 42ms | tok/sec: 388,289 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01982 (27.7%) | loss: 3.845904 | lrm: 1.00 | dt: 42ms | tok/sec: 386,592 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01983 (27.7%) | loss: 3.853555 | lrm: 1.00 | dt: 42ms | tok/sec: 387,687 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01984 (27.7%) | loss: 3.861569 | lrm: 1.00 | dt: 42ms | tok/sec: 387,569 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01985 (27.7%) | loss: 3.879043 | lrm: 1.00 | dt: 42ms | tok/sec: 387,617 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01986 (27.7%) | loss: 3.867824 | lrm: 1.00 | dt: 42ms | tok/sec: 387,507 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01987 (27.7%) | loss: 3.867789 | lrm: 1.00 | dt: 42ms | tok/sec: 388,342 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01988 (27.8%) | loss: 3.874574 | lrm: 1.00 | dt: 42ms | tok/sec: 389,678 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01989 (27.8%) | loss: 3.885333 | lrm: 1.00 | dt: 42ms | tok/sec: 390,019 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01990 (27.8%) | loss: 3.887277 | lrm: 1.00 | dt: 42ms | tok/sec: 390,123 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01991 (27.8%) | loss: 3.881297 | lrm: 1.00 | dt: 42ms | tok/sec: 388,801 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01992 (27.8%) | loss: 3.869430 | lrm: 1.00 | dt: 42ms | tok/sec: 388,678 | mfu: 2.2% | epoch: 1 | remaining: 217s    
step 01993 (27.8%) | loss: 3.882353 | lrm: 1.00 | dt: 42ms | tok/sec: 390,398 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 01994 (27.8%) | loss: 3.881877 | lrm: 1.00 | dt: 42ms | tok/sec: 390,886 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 01995 (27.9%) | loss: 3.888402 | lrm: 1.00 | dt: 42ms | tok/sec: 390,760 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 01996 (27.9%) | loss: 3.881391 | lrm: 1.00 | dt: 42ms | tok/sec: 390,660 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 01997 (27.9%) | loss: 3.883499 | lrm: 1.00 | dt: 42ms | tok/sec: 391,107 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 01998 (27.9%) | loss: 3.892087 | lrm: 1.00 | dt: 42ms | tok/sec: 390,984 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 01999 (27.9%) | loss: 3.889564 | lrm: 1.00 | dt: 42ms | tok/sec: 390,960 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02000 (27.9%) | loss: 3.904809 | lrm: 1.00 | dt: 42ms | tok/sec: 390,924 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02001 (27.9%) | loss: 3.896612 | lrm: 1.00 | dt: 42ms | tok/sec: 390,329 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02002 (28.0%) | loss: 3.896938 | lrm: 1.00 | dt: 42ms | tok/sec: 388,247 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02003 (28.0%) | loss: 3.886906 | lrm: 1.00 | dt: 43ms | tok/sec: 378,340 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02004 (28.0%) | loss: 3.900900 | lrm: 1.00 | dt: 44ms | tok/sec: 371,651 | mfu: 2.1% | epoch: 1 | remaining: 216s    
step 02005 (28.0%) | loss: 3.893314 | lrm: 1.00 | dt: 43ms | tok/sec: 377,517 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02006 (28.0%) | loss: 3.885758 | lrm: 1.00 | dt: 42ms | tok/sec: 388,495 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02007 (28.0%) | loss: 3.884391 | lrm: 1.00 | dt: 42ms | tok/sec: 390,283 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02008 (28.0%) | loss: 3.890907 | lrm: 1.00 | dt: 42ms | tok/sec: 388,739 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02009 (28.1%) | loss: 3.908655 | lrm: 1.00 | dt: 42ms | tok/sec: 387,789 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02010 (28.1%) | loss: 3.911456 | lrm: 1.00 | dt: 42ms | tok/sec: 387,778 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02011 (28.1%) | loss: 3.914346 | lrm: 1.00 | dt: 42ms | tok/sec: 387,905 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02012 (28.1%) | loss: 3.915175 | lrm: 1.00 | dt: 42ms | tok/sec: 386,953 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02013 (28.1%) | loss: 3.917194 | lrm: 1.00 | dt: 43ms | tok/sec: 382,061 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02014 (28.1%) | loss: 3.914946 | lrm: 1.00 | dt: 42ms | tok/sec: 387,748 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02015 (28.1%) | loss: 3.915939 | lrm: 1.00 | dt: 42ms | tok/sec: 387,064 | mfu: 2.2% | epoch: 1 | remaining: 216s    
step 02016 (28.2%) | loss: 3.893886 | lrm: 1.00 | dt: 42ms | tok/sec: 387,335 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02017 (28.2%) | loss: 3.882206 | lrm: 1.00 | dt: 42ms | tok/sec: 387,866 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02018 (28.2%) | loss: 3.877127 | lrm: 1.00 | dt: 42ms | tok/sec: 387,910 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02019 (28.2%) | loss: 3.861639 | lrm: 1.00 | dt: 42ms | tok/sec: 388,436 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02020 (28.2%) | loss: 3.848661 | lrm: 1.00 | dt: 42ms | tok/sec: 389,017 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02021 (28.2%) | loss: 3.853213 | lrm: 1.00 | dt: 42ms | tok/sec: 390,591 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02022 (28.2%) | loss: 3.866689 | lrm: 1.00 | dt: 42ms | tok/sec: 390,815 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02023 (28.3%) | loss: 3.866497 | lrm: 1.00 | dt: 42ms | tok/sec: 390,542 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02024 (28.3%) | loss: 3.857996 | lrm: 1.00 | dt: 43ms | tok/sec: 378,323 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02025 (28.3%) | loss: 3.857360 | lrm: 1.00 | dt: 43ms | tok/sec: 378,452 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02026 (28.3%) | loss: 3.872943 | lrm: 1.00 | dt: 43ms | tok/sec: 379,106 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02027 (28.3%) | loss: 3.870077 | lrm: 1.00 | dt: 44ms | tok/sec: 373,769 | mfu: 2.1% | epoch: 1 | remaining: 215s    
step 02028 (28.3%) | loss: 3.857690 | lrm: 1.00 | dt: 44ms | tok/sec: 373,465 | mfu: 2.1% | epoch: 1 | remaining: 215s    
step 02029 (28.3%) | loss: 3.871303 | lrm: 1.00 | dt: 42ms | tok/sec: 386,690 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02030 (28.4%) | loss: 3.888536 | lrm: 1.00 | dt: 42ms | tok/sec: 390,735 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02031 (28.4%) | loss: 3.886862 | lrm: 1.00 | dt: 42ms | tok/sec: 390,283 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02032 (28.4%) | loss: 3.885699 | lrm: 1.00 | dt: 42ms | tok/sec: 390,855 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02033 (28.4%) | loss: 3.877784 | lrm: 1.00 | dt: 42ms | tok/sec: 391,176 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02034 (28.4%) | loss: 3.874976 | lrm: 1.00 | dt: 42ms | tok/sec: 391,285 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02035 (28.4%) | loss: 3.885022 | lrm: 1.00 | dt: 42ms | tok/sec: 390,855 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02036 (28.4%) | loss: 3.872615 | lrm: 1.00 | dt: 42ms | tok/sec: 390,431 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02037 (28.5%) | loss: 3.854434 | lrm: 1.00 | dt: 42ms | tok/sec: 389,444 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02038 (28.5%) | loss: 3.857692 | lrm: 1.00 | dt: 42ms | tok/sec: 390,391 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02039 (28.5%) | loss: 3.864403 | lrm: 1.00 | dt: 42ms | tok/sec: 390,722 | mfu: 2.2% | epoch: 1 | remaining: 215s    
step 02040 (28.5%) | loss: 3.860126 | lrm: 1.00 | dt: 42ms | tok/sec: 389,964 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02041 (28.5%) | loss: 3.863532 | lrm: 1.00 | dt: 42ms | tok/sec: 388,574 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02042 (28.5%) | loss: 3.857278 | lrm: 1.00 | dt: 42ms | tok/sec: 390,540 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02043 (28.5%) | loss: 3.870544 | lrm: 1.00 | dt: 42ms | tok/sec: 390,635 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02044 (28.6%) | loss: 3.884071 | lrm: 1.00 | dt: 42ms | tok/sec: 389,034 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02045 (28.6%) | loss: 3.893140 | lrm: 1.00 | dt: 42ms | tok/sec: 390,063 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02046 (28.6%) | loss: 3.894713 | lrm: 1.00 | dt: 42ms | tok/sec: 391,178 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02047 (28.6%) | loss: 3.892999 | lrm: 1.00 | dt: 42ms | tok/sec: 390,629 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02048 (28.6%) | loss: 3.903742 | lrm: 1.00 | dt: 42ms | tok/sec: 388,926 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02049 (28.6%) | loss: 3.895332 | lrm: 1.00 | dt: 42ms | tok/sec: 390,682 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02050 (28.6%) | loss: 3.896414 | lrm: 1.00 | dt: 43ms | tok/sec: 380,371 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02051 (28.6%) | loss: 3.889669 | lrm: 1.00 | dt: 44ms | tok/sec: 375,499 | mfu: 2.1% | epoch: 1 | remaining: 214s    
step 02052 (28.7%) | loss: 3.889405 | lrm: 1.00 | dt: 43ms | tok/sec: 378,415 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02053 (28.7%) | loss: 3.892576 | lrm: 1.00 | dt: 42ms | tok/sec: 389,142 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02054 (28.7%) | loss: 3.876222 | lrm: 1.00 | dt: 42ms | tok/sec: 390,462 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02055 (28.7%) | loss: 3.869054 | lrm: 1.00 | dt: 42ms | tok/sec: 391,220 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02056 (28.7%) | loss: 3.858946 | lrm: 1.00 | dt: 42ms | tok/sec: 390,893 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02057 (28.7%) | loss: 3.863972 | lrm: 1.00 | dt: 42ms | tok/sec: 389,902 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02058 (28.7%) | loss: 3.860290 | lrm: 1.00 | dt: 42ms | tok/sec: 390,072 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02059 (28.8%) | loss: 3.839085 | lrm: 1.00 | dt: 42ms | tok/sec: 387,352 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02060 (28.8%) | loss: 3.836255 | lrm: 1.00 | dt: 43ms | tok/sec: 378,918 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02061 (28.8%) | loss: 3.831493 | lrm: 1.00 | dt: 44ms | tok/sec: 370,975 | mfu: 2.1% | epoch: 1 | remaining: 214s    
step 02062 (28.8%) | loss: 3.842114 | lrm: 1.00 | dt: 43ms | tok/sec: 379,432 | mfu: 2.2% | epoch: 1 | remaining: 214s    
step 02063 (28.8%) | loss: 3.865191 | lrm: 1.00 | dt: 42ms | tok/sec: 390,884 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02064 (28.8%) | loss: 3.867589 | lrm: 1.00 | dt: 42ms | tok/sec: 391,187 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02065 (28.8%) | loss: 3.858382 | lrm: 1.00 | dt: 42ms | tok/sec: 391,198 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02066 (28.9%) | loss: 3.850517 | lrm: 1.00 | dt: 42ms | tok/sec: 390,944 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02067 (28.9%) | loss: 3.860097 | lrm: 1.00 | dt: 42ms | tok/sec: 390,398 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02068 (28.9%) | loss: 3.848493 | lrm: 1.00 | dt: 42ms | tok/sec: 390,973 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02069 (28.9%) | loss: 3.858020 | lrm: 1.00 | dt: 42ms | tok/sec: 391,133 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02070 (28.9%) | loss: 3.847580 | lrm: 1.00 | dt: 42ms | tok/sec: 390,096 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02071 (28.9%) | loss: 3.842744 | lrm: 1.00 | dt: 42ms | tok/sec: 390,706 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02072 (28.9%) | loss: 3.854546 | lrm: 1.00 | dt: 42ms | tok/sec: 389,616 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02073 (29.0%) | loss: 3.880875 | lrm: 1.00 | dt: 42ms | tok/sec: 386,729 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02074 (29.0%) | loss: 3.881358 | lrm: 1.00 | dt: 44ms | tok/sec: 376,481 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02075 (29.0%) | loss: 3.877668 | lrm: 1.00 | dt: 44ms | tok/sec: 376,400 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02076 (29.0%) | loss: 3.880368 | lrm: 1.00 | dt: 44ms | tok/sec: 375,770 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02077 (29.0%) | loss: 3.865627 | lrm: 1.00 | dt: 42ms | tok/sec: 388,911 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02078 (29.0%) | loss: 3.870143 | lrm: 1.00 | dt: 42ms | tok/sec: 390,875 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02079 (29.0%) | loss: 3.881264 | lrm: 1.00 | dt: 42ms | tok/sec: 390,735 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02080 (29.1%) | loss: 3.877393 | lrm: 1.00 | dt: 42ms | tok/sec: 391,044 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02081 (29.1%) | loss: 3.873991 | lrm: 1.00 | dt: 42ms | tok/sec: 390,995 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02082 (29.1%) | loss: 3.875508 | lrm: 1.00 | dt: 42ms | tok/sec: 390,715 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02083 (29.1%) | loss: 3.871482 | lrm: 1.00 | dt: 42ms | tok/sec: 390,404 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02084 (29.1%) | loss: 3.845135 | lrm: 1.00 | dt: 42ms | tok/sec: 390,079 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02085 (29.1%) | loss: 3.851406 | lrm: 1.00 | dt: 42ms | tok/sec: 390,267 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02086 (29.1%) | loss: 3.870462 | lrm: 1.00 | dt: 42ms | tok/sec: 390,462 | mfu: 2.2% | epoch: 1 | remaining: 213s    
step 02087 (29.2%) | loss: 3.884091 | lrm: 1.00 | dt: 42ms | tok/sec: 390,642 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02088 (29.2%) | loss: 3.890988 | lrm: 1.00 | dt: 42ms | tok/sec: 388,687 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02089 (29.2%) | loss: 3.873094 | lrm: 1.00 | dt: 42ms | tok/sec: 391,136 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02090 (29.2%) | loss: 3.869414 | lrm: 1.00 | dt: 42ms | tok/sec: 391,218 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02091 (29.2%) | loss: 3.878114 | lrm: 1.00 | dt: 42ms | tok/sec: 391,006 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02092 (29.2%) | loss: 3.886076 | lrm: 1.00 | dt: 42ms | tok/sec: 390,491 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02093 (29.2%) | loss: 3.872925 | lrm: 1.00 | dt: 42ms | tok/sec: 391,131 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02094 (29.3%) | loss: 3.871441 | lrm: 1.00 | dt: 42ms | tok/sec: 391,198 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02095 (29.3%) | loss: 3.866132 | lrm: 1.00 | dt: 43ms | tok/sec: 379,808 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02096 (29.3%) | loss: 3.879128 | lrm: 1.00 | dt: 43ms | tok/sec: 377,814 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02097 (29.3%) | loss: 3.876246 | lrm: 1.00 | dt: 43ms | tok/sec: 376,778 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02098 (29.3%) | loss: 3.874429 | lrm: 1.00 | dt: 42ms | tok/sec: 388,390 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02099 (29.3%) | loss: 3.878322 | lrm: 1.00 | dt: 42ms | tok/sec: 388,926 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02100 (29.3%) | loss: 3.878101 | lrm: 1.00 | dt: 42ms | tok/sec: 390,749 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02101 (29.4%) | loss: 3.856153 | lrm: 1.00 | dt: 42ms | tok/sec: 390,578 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02102 (29.4%) | loss: 3.847608 | lrm: 1.00 | dt: 42ms | tok/sec: 390,143 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02103 (29.4%) | loss: 3.841333 | lrm: 1.00 | dt: 42ms | tok/sec: 390,735 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02104 (29.4%) | loss: 3.839510 | lrm: 1.00 | dt: 42ms | tok/sec: 390,340 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02105 (29.4%) | loss: 3.813183 | lrm: 1.00 | dt: 42ms | tok/sec: 391,247 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02106 (29.4%) | loss: 3.821509 | lrm: 1.00 | dt: 42ms | tok/sec: 390,813 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02107 (29.4%) | loss: 3.829377 | lrm: 1.00 | dt: 43ms | tok/sec: 384,455 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02108 (29.5%) | loss: 3.833673 | lrm: 1.00 | dt: 42ms | tok/sec: 388,063 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02109 (29.5%) | loss: 3.842542 | lrm: 1.00 | dt: 42ms | tok/sec: 389,272 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02110 (29.5%) | loss: 3.831000 | lrm: 1.00 | dt: 42ms | tok/sec: 388,131 | mfu: 2.2% | epoch: 1 | remaining: 212s    
step 02111 (29.5%) | loss: 3.813521 | lrm: 1.00 | dt: 42ms | tok/sec: 389,645 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02112 (29.5%) | loss: 3.810207 | lrm: 1.00 | dt: 42ms | tok/sec: 391,213 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02113 (29.5%) | loss: 3.817421 | lrm: 1.00 | dt: 42ms | tok/sec: 390,700 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02114 (29.5%) | loss: 3.820051 | lrm: 1.00 | dt: 42ms | tok/sec: 391,089 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02115 (29.6%) | loss: 3.841177 | lrm: 1.00 | dt: 42ms | tok/sec: 390,309 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02116 (29.6%) | loss: 3.830869 | lrm: 1.00 | dt: 42ms | tok/sec: 389,314 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02117 (29.6%) | loss: 3.838553 | lrm: 1.00 | dt: 42ms | tok/sec: 390,958 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02118 (29.6%) | loss: 3.855750 | lrm: 1.00 | dt: 42ms | tok/sec: 390,960 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02119 (29.6%) | loss: 3.861097 | lrm: 1.00 | dt: 42ms | tok/sec: 391,218 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02120 (29.6%) | loss: 3.865844 | lrm: 1.00 | dt: 42ms | tok/sec: 390,929 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02121 (29.6%) | loss: 3.852735 | lrm: 1.00 | dt: 42ms | tok/sec: 390,385 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02122 (29.6%) | loss: 3.863764 | lrm: 1.00 | dt: 44ms | tok/sec: 371,701 | mfu: 2.1% | epoch: 1 | remaining: 211s    
step 02123 (29.7%) | loss: 3.875523 | lrm: 1.00 | dt: 44ms | tok/sec: 370,365 | mfu: 2.1% | epoch: 1 | remaining: 211s    
step 02124 (29.7%) | loss: 3.876733 | lrm: 1.00 | dt: 43ms | tok/sec: 383,290 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02125 (29.7%) | loss: 3.876338 | lrm: 1.00 | dt: 42ms | tok/sec: 389,559 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02126 (29.7%) | loss: 3.875085 | lrm: 1.00 | dt: 42ms | tok/sec: 390,853 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02127 (29.7%) | loss: 3.881083 | lrm: 1.00 | dt: 42ms | tok/sec: 391,169 | mfu: 2.2% | epoch: 1 | remaining: 211s    
step 02128 (29.7%) | loss: 3.903928 | lrm: 1.00 | dt: 42ms | tok/sec: 391,087 | mfu: 2.2% | epoch: 1 | remaining: 211s    
